Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco121, 89, 1, 0, 3932.6, 1698, 0, 0, 0, 0, 5.5, 209.5, 0, 0, 0, 798.1, 239.4, 336.6, 545.4, 257.5, 45.4, 0, 0, 70.4, 1259, 1344.1, 1259, 0, 0, 2.3, 1, 1.7, 2.7, 1.3, 4.5, 0, 0, 35.2, 62.9, 70.4, 21.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201.8, 0, 0, 
1, eco121, 89, 1, 424.7, 3437.3, 2119, 207.7, 91.5, 7.5, 5.7, 3.02, 209.9, 36.8, 56, 42.6, 936.6, 281, 341.7, 546.9, 42.9, 37.8, 2.3, 2.8, 180.2, 1645.5, 348.7, 1263, 1.5, 0.9, 2.7, 1.2, 1.7, 2.7, 0.2, 3.6, 0, 0.1, 32.8, 116.2, 20.6, 22.7, 0.5, 0.6, 0, 0, 2.3, 1.4, -4.5, 0, 0.31, 2.4, 0.16, 0, 0, 2.9, 0.1, 199.3, 0.06, 0, 
2, eco121, 89, 1, -194.8, 3235.7, 2695, 318.2, 140, 30.8, 16.8, 6.4, 211, 17.5, 124.2, 94.4, 1146, 343.8, 355.5, 551.3, 18.7, 38.5, 10.1, 13, 186.4, 1686.5, 98.6, 1264.3, 3.3, 2, 3.3, 1.5, 1.7, 2.8, 0.1, 3, 0.1, 0.5, 29.8, 126.5, 7.1, 23, 0.1, 0.4, 0, -0.1, 2.2, 2.8, 1.6, 0, 0.3, 1.54, 0.13, 0, 0, 3.9, 0.4, 196.5, 0.07, 0, 
3, eco121, 89, 1, -288.3, 3148.9, 3158, 297.1, 130.8, 51, 29.1, 10.06, 211.6, 10.5, 163.7, 124.4, 1323.6, 397.1, 377.4, 558.4, 27.7, 45.7, 21.6, 28.5, 183.7, 1647.6, 52.6, 1265.1, 4.3, 2.6, 3.8, 1.8, 1.8, 2.8, 0.1, 2.8, 0.1, 1, 27.2, 125.9, 4.2, 23.2, 0, 0.3, 0, -0.1, 2.2, 2.7, 1.8, 0, 0.32, 2.46, 0.22, 0, 0, 3.4, 0.7, 194.6, 0.14, 0, 
4, eco121, 89, 1, -297.2, 3086.9, 3569, 304.2, 133.9, 61.8, 48, 13.4, 212.1, 9.9, 194.7, 148, 1487, 446.1, 411.9, 569.1, 38.5, 54.8, 31.9, 43.2, 186.8, 1593.5, 41, 1265.6, 5, 3.1, 4.2, 2, 1.9, 2.8, 0.2, 2.7, 0.2, 1.5, 25, 123.4, 3.2, 23.3, 0.1, 0.1, 0, -0.2, 2.1, 3.1, 1.5, 0, 0.31, 2.28, 0.23, 0, 0, 3.5, 0.8, 193, 0.2, 0, 
5, eco121, 89, 1, -312.1, 3050.9, 3932, 315.2, 138.8, 71.9, 74.9, 15.69, 212.5, 9, 218.9, 166.4, 1631.2, 489.4, 463, 585.7, 48.5, 64.6, 43.3, 59.4, 196.7, 1547.4, 40.7, 1266.2, 5.6, 3.4, 4.6, 2.2, 2, 2.9, 0.2, 2.7, 0.2, 2.1, 23.1, 121.1, 2.9, 23.5, 0.1, 0, 0, -0.3, 2.2, 2.8, 0.9, 0, 0.34, 2.81, 0.3, 0, 0, 3.5, 1, 191.7, 0.25, 0, 
6, eco121, 89, 1, -247.3, 3028.6, 4202, 277.2, 122, 73.6, 79.5, 17.69, 212.9, 8.5, 230.5, 175.2, 1746.4, 523.9, 512.2, 600.4, 56.6, 73.7, 51.2, 71.7, 211.7, 1507.9, 42.4, 1266.6, 5.9, 3.6, 5, 2.4, 2.1, 3, 0.3, 2.8, 0.3, 2.6, 21.7, 119.2, 2.8, 23.7, 0.1, -0.1, 0, -0.4, 1.9, 2.9, 0.5, 0, 0.29, 1.59, 0.18, 0, 0, 3, 1, 191, 0.28, 0, 
7, eco121, 89, 1, -290.8, 3007.6, 4538, 335.2, 147.6, 80.8, 97.5, 19.53, 213.7, 10.1, 252.5, 191.9, 1884.1, 565.2, 568, 614.3, 62.8, 82, 55.2, 80, 232, 1465.8, 42.9, 1266.9, 6.5, 4, 5.3, 2.6, 2.2, 3, 0.3, 2.9, 0.3, 2.9, 20.5, 117.2, 2.7, 23.8, 0.1, -0.1, 0.1, -0.5, 2, 3.5, 0.4, 0, 0.27, 0.9, 0.12, 0, 0, 3.5, 1.1, 190.1, 0.31, 0, 
8, eco121, 89, 1, -357.3, 3004, 4937, 390, 171.7, 89.4, 112.8, 20.08, 214.5, 9.7, 282.1, 214.4, 2042.3, 612.7, 626.4, 629.7, 66.6, 89.4, 61.3, 90.3, 257.8, 1434.4, 44.4, 1267.4, 7.3, 4.5, 5.8, 2.8, 2.4, 3.1, 0.3, 3, 0.3, 3.3, 19.3, 115.9, 2.5, 24, 0.1, -0.2, 0.1, -0.5, 2.1, 3.3, -0.1, 0, 0.31, 1.78, 0.21, 0, 0, 4.2, 1.2, 188.7, 0.33, 0, 
9, eco121, 89, 1, -245.1, 3007.2, 5197, 300, 132.1, 92.5, 88, 20.74, 214.9, 8.3, 281.1, 213.6, 2162.8, 648.8, 664.4, 636.8, 76.7, 100.8, 68.5, 101.7, 281.6, 1411.6, 46.4, 1267.6, 7.2, 4.4, 6.1, 3, 2.4, 3.1, 0.4, 3.3, 0.3, 3.7, 18.6, 115, 2.5, 24.1, 0.1, -0.2, 0.1, -0.5, 1.6, 3, -0.3, 0, 0.29, 1.77, 0.21, 0, 0, 3, 1.2, 188.6, 0.34, 0, 
10, eco121, 89, 1, -319.9, 3018.7, 5581, 389.2, 171.4, 93.6, 117.4, 20.5, 215.7, 10.1, 306.9, 233.2, 2317.8, 695.3, 714.7, 645, 74.5, 104.9, 68.6, 104.8, 312.4, 1392.3, 46.1, 1267.9, 7.9, 4.8, 6.6, 3.2, 2.5, 3.1, 0.4, 3.4, 0.3, 3.8, 18, 114.5, 2.4, 24.2, 0.1, -0.3, 0.1, -0.7, 1.9, 3.6, -0.8, 0, 0.29, 1.43, 0.18, 0, 0, 4.2, 1.2, 187.5, 0.35, 0, 
11, eco121, 89, 1, -313.1, 3033, 5927, 389.5, 171.5, 105.1, 122.5, 20.24, 216.3, 10.1, 321.3, 244.2, 2468.4, 740.5, 764.4, 650.4, 81.3, 112.7, 72.1, 111.1, 342.1, 1374.9, 47.7, 1268.3, 8.2, 5, 7, 3.4, 2.7, 3.1, 0.4, 3.6, 0.4, 4, 17.4, 114.1, 2.4, 24.4, 0.1, -0.3, 0.1, -0.7, 1.8, 3.7, -0.9, 0, 0.29, 1.56, 0.17, 0, 0, 4.1, 1.4, 186.8, 0.34, 0, 
