Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, AbieAmab, eco9, 3, 0.32, 1, 0, 0, 151, 0, 309, 
1, AbieAmab, eco10, 140, 0, 1, 0.05, 0, 143.02, 0, 303, 
1, AbieAmab, eco11, 33, 0, 1, 0.06, 0, 142.52, 0, 309, 
1, AbieAmab, eco18, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, AbieAmab, eco21, 311, 0.9, 1, 0.08, 0.05, 95.73, 64, 292, 
1, AbieAmab, eco22, 1441, 0.96, 1, 0.37, 0.22, 70.88, 94, 290, 
1, AbieAmab, eco23, 1632, 0.8, 1, 0.02, 0.01, 94.02, 70, 291, 
1, AbieAmab, eco24, 1904, 0.65, 1, 0, 0, 99.89, 65, 291, 
1, AbieAmab, eco25, 885, 0.22, 1, 0.03, 0, 147.02, 0, 302, 
1, AbieAmab, eco32, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, AbieAmab, eco33, 2, 0.86, 1, 0, 0, 110, 55, 300, 
1, AbieAmab, eco34, 84, 0.83, 1, 0.27, 0.16, 87.71, 57, 295, 
1, AbieAmab, eco35, 1221, 0.91, 1, 0.52, 0.31, 55, 110, 291, 
1, AbieAmab, eco36, 2731, 0.95, 1, 0.52, 0.31, 55, 110, 291, 
1, AbieAmab, eco37, 2951, 0.9, 1, 0.01, 0, 97.6, 67, 291, 
1, AbieAmab, eco38, 2762, 0.84, 1, 0, 0, 98.96, 66, 292, 
1, AbieAmab, eco39, 1540, 0.46, 1, 0, 0, 108.97, 56, 298, 
1, AbieAmab, eco40, 3, 0.24, 1, 0, 0, 151, 0, 306, 
1, AbieAmab, eco46, 108, 0.76, 1, 0.01, 0, 116.48, 48, 301, 
1, AbieAmab, eco47, 1679, 0.82, 1, 0.14, 0.08, 90, 76, 295, 
1, AbieAmab, eco48, 2310, 0.89, 1, 0.28, 0.17, 79.03, 83, 291, 
1, AbieAmab, eco49, 1973, 0.96, 1, 0.6, 0.36, 46, 119, 291, 
1, AbieAmab, eco50, 2331, 0.97, 1, 0.59, 0.36, 47, 118, 291, 
1, AbieAmab, eco51, 2542, 0.92, 1, 0.09, 0.05, 89, 77, 291, 
1, AbieAmab, eco52, 2705, 0.86, 1, 0, 0, 103, 62, 291, 
1, AbieAmab, eco53, 2120, 0.61, 1, 0, 0, 97.77, 67, 292, 
1, AbieAmab, eco54, 1, 0.45, 1, 0, 0, 151, 0, 304, 
1, AbieAmab, eco60, 2357, 0.74, 1, 0.01, 0.01, 113.19, 51, 298, 
1, AbieAmab, eco61, 3380, 0.85, 1, 0.52, 0.31, 56, 109, 291, 
1, AbieAmab, eco62, 2171, 0.98, 1, 0.58, 0.35, 49, 116, 291, 
1, AbieAmab, eco63, 1054, 1, 1, 0.74, 0.44, 31.2, 126, 291, 
1, AbieAmab, eco64, 973, 0.99, 1, 0.68, 0.41, 33.45, 130, 278, 
1, AbieAmab, eco65, 1754, 0.97, 1, 0.63, 0.38, 40, 125, 282, 
1, AbieAmab, eco66, 1990, 0.91, 1, 0.53, 0.32, 54, 111, 291, 
1, AbieAmab, eco67, 1320, 0.87, 1, 0.57, 0.34, 50, 115, 291, 
1, AbieAmab, eco68, 1433, 0.84, 1, 0.54, 0.33, 53, 112, 291, 
1, AbieAmab, eco69, 5, 0.82, 1, 0, 0, 117, 48, 294, 
1, AbieAmab, eco70, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, AbieAmab, eco71, 216, 0.9, 1, 0.32, 0.19, 117.95, 0, 365, 
1, AbieAmab, eco72, 893, 0.78, 1, 0.74, 0.39, 48.1, 0, 305, 
1, AbieAmab, eco73, 1784, 0.62, 1, 0.19, 0.1, 126.92, 0, 309, 
1, AbieAmab, eco74, 3655, 0.78, 1, 0.07, 0.04, 95.87, 63, 296, 
1, AbieAmab, eco75, 2710, 0.86, 1, 0.02, 0.01, 96.61, 67, 294, 
