SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 3, 1, 1, 0, Accidental, 
1, 4, 1, 1, 0, Lightning, 
1, 5, 1, 1, 0, Lightning, 
1, 67, 1, 1, 5.17302215247146, Accidental, 
1, 93, 1, 1, 6.11860876597328, Accidental, 
1, 108, 1, 1, 5.76748226120737, Accidental, 
1, 115, 1, 1, 9.65969710272796, Lightning, 
1, 119, 1, 1, 8.04340097723481, Lightning, 
1, 142, 1, 1, 15.6906214825474, Lightning, 
1, 147, 1, 1, 25.0640095018543, Lightning, 
1, 149, 1, 1, 24.8536023931885, Accidental, 
1, 154, 1, 1, 28.635810933309, Lightning, 
1, 165, 1, 1, 24.2065427796568, Lightning, 
1, 166, 1, 1, 24.682155466531, Lightning, 
1, 171, 1, 1, 21.8918272763266, Lightning, 
1, 175, 1, 1, 24.0655545263478, Accidental, 
1, 175, 1, 1, 24.0655545263478, Lightning, 
1, 190, 1, 1, 23.913772785643, Lightning, 
1, 204, 1, 1, 31.4648122399535, Lightning, 
1, 206, 1, 1, 34.6047159775056, Accidental, 
1, 210, 1, 1, 36.2724237473237, Accidental, 
1, 210, 1, 1, 36.2724237473237, Lightning, 
1, 215, 1, 1, 31.9440838993177, Lightning, 
1, 225, 1, 1, 23.6138294251144, Lightning, 
1, 262, 1, 1, 29.1053251869555, Accidental, 
1, 274, 1, 1, 30.383145477887, Lightning, 
1, 275, 1, 1, 33.1063743282721, Lightning, 
1, 278, 1, 1, 29.0054903710378, Accidental, 
1, 278, 1, 1, 29.0054903710378, Lightning, 
1, 280, 1, 1, 25.5096929025669, Lightning, 
1, 284, 1, 1, 27.7093706293198, Lightning, 
1, 295, 1, 1, 13.0425280785697, Lightning, 
1, 302, 1, 1, 9.68998511778254, Lightning, 
1, 348, 1, 1, 6.61118483165023, Accidental, 
1, 349, 1, 1, 10.549046233006, Accidental, 
1, 352, 1, 1, 7.5804914457325, Lightning, 
1, 355, 1, 1, 3.81464504412464, Lightning, 
2, 20, 1, 1, 3.22937588135726, Lightning, 
2, 103, 1, 1, 12.2044446470124, Accidental, 
2, 112, 1, 1, 5.80462509104473, Lightning, 
2, 136, 1, 1, 11.8560505841539, Accidental, 
2, 149, 1, 1, 14.3862017560885, Lightning, 
2, 154, 1, 1, 11.9217900128485, Lightning, 
2, 156, 1, 1, 14.1085184880678, Lightning, 
2, 166, 1, 1, 20.7869921169246, Lightning, 
2, 187, 1, 1, 20.9070719419471, Lightning, 
2, 192, 1, 1, 23.4046103139679, Lightning, 
2, 200, 1, 1, 27.8884325052499, Lightning, 
2, 207, 1, 1, 32.3071983816561, Accidental, 
2, 207, 1, 1, 32.3071983816561, Lightning, 
2, 212, 1, 1, 32.6775588528789, Lightning, 
2, 213, 1, 1, 33.1512891028574, Lightning, 
2, 215, 1, 1, 31.667270159141, Lightning, 
2, 217, 1, 1, 27.7405959675735, Lightning, 
2, 222, 1, 1, 31.0215477389497, Lightning, 
2, 225, 1, 1, 34.1471127290045, Lightning, 
2, 238, 1, 1, 28.0892540440863, Accidental, 
2, 239, 1, 1, 27.0599294177887, Lightning, 
2, 248, 1, 1, 28.6238858489999, Accidental, 
