IgnitionType,Mapcode,Suppress_Category_0,FWI_Break_1,Suppress_Category_1,FWI_Break_2,Suppress_Category_2
Accidental,0,0,30,0,42,0
Accidental,1,6,30,12,42,40
Accidental,2,12,30,24,42,60
Accidental,3,18,30,30,42,80
Lightning,0,0,30,0,42,0
Lightning,1,3,30,6,42,18
Lightning,2,6,30,12,42,24
Lightning,3,9,30,18,42,36
Rx,0,0,30,0,42,0
Rx,1,0,30,0,42,0
Rx,2,0,30,0,42,0
Rx,3,0,30,0,42,0
