SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 7, 48521, 0, 7, 20, 0, 148210, 964981068, 0, 
2, 24927, 43290, 0, 9, 26, 0, 359404488, 250964435, 0, 
3, 7, 17149, 0, 7, 29, 0, 156793, 81238869, 0, 
4, 6966, 8165, 0, 14, 22, 0, 59901073, 53917645, 0, 
5, 7, 24, 0, 7, 23, 0, 21429, 141007, 0, 
6, 25782, 53783, 0, 6, 28, 0, 322565240, 443943255, 0, 
7, 12, 14252, 0, 12, 14, 0, 93081, 70356038, 0, 
8, 31257, 36965, 0, 4, 20, 0, 215166827, 278833787, 0, 
9, 11, 15267, 0, 11, 24, 0, 56507, 99112134, 0, 
10, 6630, 34357, 0, 5, 24, 0, 50210915, 632767020, 0, 
11, 76197, 22198, 0, 8, 26, 0, 488357280, 115630552, 0, 
12, 42797, 5915, 0, 10, 30, 0, 465505254, 14309683, 0, 
13, 17292, 18, 0, 12, 18, 0, 148278555, 164192, 0, 
14, 6759, 19, 0, 10, 19, 0, 102087636, 175892, 0, 
15, 32192, 32094, 0, 9, 19, 0, 446182738, 181080409, 0, 
16, 95904, 41268, 0, 9, 22, 0, 751618648, 252163451, 0, 
17, 63421, 9964, 0, 12, 25, 0, 343619779, 49580115, 0, 
18, 9, 19492, 0, 9, 22, 0, 42382, 71042222, 0, 
19, 4, 57879, 0, 4, 20, 0, 6750, 228426173, 0, 
20, 35668, 58471, 0, 16, 17, 0, 61047088, 453459770, 0, 
21, 49836, 5798, 0, 18, 21, 0, 290826739, 48809533, 0, 
22, 26461, 6438, 0, 13, 24, 0, 33030829, 53956424, 0, 
23, 14, 17, 0, 14, 14, 0, 94079, 99149, 0, 
24, 6876, 29109, 0, 10, 23, 0, 36680323, 285830305, 0, 
25, 47680, 3362, 0, 15, 21, 0, 207199069, 16755966, 0, 
26, 7, 5833, 0, 7, 23, 0, 26465, 15389716, 0, 
27, 78934, 19217, 0, 11, 21, 0, 331201003, 111395611, 0, 
28, 585, 7229, 0, 5, 19, 0, 238662, 16597674, 0, 
29, 12602, 18, 0, 12, 18, 0, 45298790, 132666, 0, 
30, 62766, 52865, 0, 11, 12, 0, 245503629, 429004027, 0, 
31, 17099, 7428, 0, 9, 23, 0, 85001322, 34107521, 0, 
32, 9, 14, 0, 9, 14, 0, 43066, 76964, 0, 
33, 8, 7, 0, 8, 7, 0, 47583, 19794, 0, 
34, 2, 19, 0, 2, 19, 0, 2642, 155088, 0, 
35, 11263, 18011, 0, 10, 18, 0, 15247211, 165364516, 0, 
36, 13560, 6011, 0, 10, 16, 0, 15876887, 31765898, 0, 
37, 48482, 54573, 0, 17, 22, 0, 243922796, 315734201, 0, 
38, 24508, 1071, 0, 8, 24, 0, 30637119, 6999837, 0, 
39, 16, 18, 0, 15, 18, 0, 87872, 102059, 0, 
40, 24987, 16, 0, 7, 16, 0, 26448140, 109477, 0, 
