EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
2700, 89, 280, 906, 26.0682346281866, 271, 9127, Lightning, 1, 1, 33, 34, 10.8430033608, 8.40812657303323, 285.4556544, NaN, 26.07, NaN, 767.40312157916, 554.870999870833, 0.200000002980232, 0.0783891199020534, 48, 584, 3804, 
2701, 89, 791, 549, 39.8091859779342, 280, 12656, Lightning, 1, 1, 23, 57, 11.1080784348, 7.59586984130874, 91.9116927, NaN, 39.81, NaN, 820.994835107524, 699.300180921453, 0.214384317398071, 0.1545026101408, 1404, 263, 16439, 
2702, 89, 608, 470, 57.4122877470808, 299, 13348, Lightning, 3, 15833, 66391, 171816, 20.3211177851417, 21.132152150208, 77.1007534880077, 0.643506821627084, 55.25, 0.788928168192042, 942.49060888098, 789.653161026878, 0.221665819663231, 0.053142437451334, 338.133960714962, 293.33, 54821916, 
2703, 89, 613, 547, 61.2787758585469, 304, 14836, Accidental, 2, 8597, 76815, 131136, 14.4703566382932, 16.3626885537605, 94.1099247766866, 1.09818520241973, 56.12, 0.769828069422759, 836.87222442505, 711.795566382806, 0.191128093523956, 0.0597160492913137, 771.692218215657, 304.64, 30700909, 
2704, 89, 326, 714, 29.173727466138, 309, 9878, Lightning, 1, 1, 11, 11, 7.7501203272, 8.04445020119513, 68.8103484, NaN, 29.17, NaN, 876.805906040224, 719.063070389725, 0.129999995231628, 0.0446086491579861, 103, 404, 3869, 
2705, 89, 976, 385, 25.8435285676248, 311, 9615, Lightning, 1, 1, 2, 2, 12.3843449052, 10.5446273004414, 343.0482609, NaN, 25.84, NaN, 919.39072679454, 780.298123293399, 0.214384317398071, 0.0429372516197652, 797, 298, 3856, 
2706, 89, 371, 754, 11.4050813047018, 326, 8434, Lightning, 1, 1, 3, 19, 16.72157043, 21.2305913067143, 222.46131526, NaN, 11.41, NaN, 896.391655552657, 761.961738880135, 0.214384317398071, 0.0823574210212531, 1925, 217, 768, 
2707, 89, 711, 481, 6.72211711871856, 350, 4770, Accidental, 1, 1, 5, 12, 6.991016112, 11.9315067012708, 152.5825328, NaN, 6.72, NaN, 924.925684008502, 759.497337826357, 0.280000001192093, 0.0438901433129222, 0, 368, 7786, 
2708, 89, 394, 781, 10.8878747218473, 351, 6116, Accidental, 1, 1, 29, 33, 10.1818055916, 12.7585166108715, 164.3973576, NaN, 10.89, NaN, 858.408168871722, 704.001978066837, 0.259999990463257, 0.0771903433076911, 0, 369, 3568, 
2709, 90, 789, 288, 0.981488095476153, 11, 1166, Accidental, 1, 1, 0, 0, 3.80666682, 3.98182894412738, 218.77205775, NaN, 0.98, NaN, 955.513515541279, 756.354339092107, 0.180000007152557, 0.00107828330717307, 0, 491, 0, 
