Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1980, eco33, 11, 87.81, 12.18, 79, 300, 0, 
1981, eco33, 11, 129.66, 12.63, 0, 286, 0, 
1982, eco33, 11, 126.23, 11.06, 106, 293, 0, 
1983, eco33, 11, 191.61, 11.67, 0, 307, 0, 
1984, eco33, 11, 92.77, 11.74, 53, 280, 0, 
1985, eco33, 11, 55.52, 11.94, 85, 281, 0, 
1986, eco33, 11, 108.44, 12.82, 0, 300, 0, 
1987, eco33, 11, 93.67, 12.68, 65, 303, 0, 
1988, eco33, 11, 79.83, 12.51, 81, 309, 0, 
1979, eco34, 12, 105.33, 12.27, 57, 295, 0, 
1980, eco34, 12, 78.29, 12.48, 81, 277, 0, 
1981, eco34, 12, 122.37, 13.1, 0, 275, 0, 
1982, eco34, 12, 111.72, 11.23, 111, 291, 0, 
1983, eco34, 12, 175.5, 12.03, 0, 302, 0, 
1984, eco34, 12, 78.97, 12.14, 57, 274, 0, 
1985, eco34, 12, 52.53, 12.37, 86, 279, 0, 
1986, eco34, 12, 98.34, 13.16, 22, 300, 0, 
1987, eco34, 12, 78.85, 13.1, 72, 303, 0, 
1988, eco34, 12, 74.77, 12.96, 83, 302, 0, 
1979, eco35, 13, 118.49, 11.45, 110, 291, 0, 
1980, eco35, 13, 88.76, 11.75, 103, 265, 0, 
1981, eco35, 13, 138.77, 12.32, 91, 270, 0, 
1982, eco35, 13, 128.11, 10.46, 119, 259, 0, 
1983, eco35, 13, 197.57, 11.27, 113, 291, 0, 
1984, eco35, 13, 90.75, 11.4, 111, 270, 0, 
1985, eco35, 13, 58.92, 11.6, 98, 269, 0, 
1986, eco35, 13, 112.21, 12.43, 110, 284, 0, 
1987, eco35, 13, 88.77, 12.36, 98, 291, 0, 
1988, eco35, 13, 84.14, 12.25, 98, 291, 0, 
1979, eco36, 14, 105.68, 11.04, 110, 291, 0, 
1980, eco36, 14, 75.57, 11.27, 103, 278, 0, 
1981, eco36, 14, 122.58, 11.84, 91, 270, 0, 
1982, eco36, 14, 109.89, 10.05, 119, 289, 0, 
1983, eco36, 14, 174.63, 10.69, 113, 291, 0, 
1984, eco36, 14, 80.36, 10.83, 111, 269, 0, 
1985, eco36, 14, 52.03, 11.01, 98, 270, 0, 
1986, eco36, 14, 96.91, 11.8, 110, 285, 0, 
1987, eco36, 14, 74.55, 11.72, 98, 291, 0, 
1988, eco36, 14, 76.67, 11.71, 98, 291, 0, 
1979, eco37, 15, 134.25, 11.65, 67, 291, 0, 
1980, eco37, 15, 107.64, 11.93, 85, 297, 0, 
1981, eco37, 15, 169.63, 12.38, 63, 275, 0, 
1982, eco37, 15, 150.28, 10.58, 108, 291, 0, 
1983, eco37, 15, 246.76, 11.23, 30, 295, 0, 
1984, eco37, 15, 96.03, 11.45, 65, 273, 0, 
1985, eco37, 15, 65.92, 11.62, 88, 276, 0, 
1986, eco37, 15, 136.46, 12.38, 33, 294, 0, 
1987, eco37, 15, 108.87, 12.24, 78, 296, 0, 
1988, eco37, 15, 96.24, 12.26, 83, 292, 0, 
1979, eco38, 16, 173.58, 12.12, 66, 292, 0, 
1980, eco38, 16, 152.63, 12.43, 84, 299, 0, 
1981, eco38, 16, 226.89, 12.88, 63, 276, 0, 
1982, eco38, 16, 194.54, 11.11, 106, 291, 0, 
1983, eco38, 16, 329.06, 11.73, 40, 295, 0, 
1984, eco38, 16, 122.03, 11.98, 65, 273, 0, 
1985, eco38, 16, 86.77, 12.06, 87, 283, 0, 
1986, eco38, 16, 175.47, 12.89, 37, 299, 0, 
1987, eco38, 16, 143.3, 12.79, 77, 298, 0, 
1988, eco38, 16, 131.01, 12.84, 78, 292, 0, 
1979, eco39, 17, 202.64, 14.11, 56, 298, 0, 
1980, eco39, 17, 185.86, 14.31, 0, 304, 0, 
1981, eco39, 17, 258.45, 14.83, 47, 289, 0, 
1982, eco39, 17, 226.07, 13.07, 72, 293, 0, 
1983, eco39, 17, 385, 13.64, 16, 301, 0, 
1984, eco39, 17, 140.98, 14.01, 54, 286, 0, 
1985, eco39, 17, 98.2, 14.13, 76, 291, 0, 
1986, eco39, 17, 206.17, 14.92, 27, 307, 0, 
1987, eco39, 17, 167.61, 14.95, 58, 303, 0, 
1988, eco39, 17, 149.8, 14.96, 55, 298, 0, 
1979, eco40, 18, 199.4, 14.83, 0, 306, 0, 
1980, eco40, 18, 179.83, 15.06, 0, 315, 0, 
1981, eco40, 18, 249.05, 15.59, 0, 365, 0, 
1982, eco40, 18, 219.39, 13.8, 0, 303, 0, 
1983, eco40, 18, 362.34, 14.41, 0, 314, 0, 
1984, eco40, 18, 136.28, 14.76, 23, 321, 0, 
1985, eco40, 18, 96.86, 14.87, 0, 295, 0, 
1986, eco40, 18, 207.2, 15.66, 0, 338, 0, 
1987, eco40, 18, 163.95, 15.63, 0, 312, 0, 
1988, eco40, 18, 143.53, 15.66, 0, 309, 0, 
1979, eco46, 19, 138.28, 12.74, 48, 301, 0, 
1980, eco46, 19, 110.29, 12.88, 80, 303, 0, 
1981, eco46, 19, 155, 13.31, 0, 365, 0, 
1982, eco46, 19, 156.83, 11.78, 108, 295, 0, 
1983, eco46, 19, 243.42, 12.39, 0, 314, 0, 
1984, eco46, 19, 134.21, 12.46, 46, 310, 0, 
1985, eco46, 19, 66.95, 12.57, 87, 287, 0, 
1986, eco46, 19, 141.83, 13.54, 0, 303, 0, 
